Plant_Type,City,State,Customer_ID,Material_Group,PH2R,PH4,Year,Month,Units,LBS,Revenue,Rev/Units,Rev/LBS
Metals,Chicago,IL,30267,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,27.00401949,40.8718514,inf,1.513546952339279
Metals,Chicago,IL,30267,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,17.67867479,39.10596833,inf,2.21204184106155
Metals,Chicago,IL,30267,NM 214 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,0.17956151,0.418727162,inf,2.3319427532103063
Metals,Chicago,IL,30267,ND Ears / Bails,1 Paint,Ears,2020,1,0.0,6.577344702,0.449695493,inf,0.0683703703202995
Metals,Chicago,IL,30267,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,1,0.0,4.738976857,7.411023143,inf,1.5638445526597347
Metals,Chicago,IL,30268,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,14.73325213,10.35747625,9.659707674,0.6556398810504847,0.9326314095096284
Metals,Chicago,IL,30268,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,2.367844093,0.627478685,1.05406821,0.4451594651506475,1.679847037353946
Metals,Chicago,IL,30268,EE 3.5 Gal O/H Taper,4 Metal Pail,3.5 Gallon Pail,2020,1,2.630937881,1.867965895,5.534969549,2.1038009255072945,2.9630998958896946
Metals,Chicago,IL,30268,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,1,9.288063337,21.69590926,19.12189403,2.058760081213688,0.8813594213013407
Metals,Chicago,IL,30268,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,2.797563946,2.157405603,inf,0.7711729363987164
Metals,Chicago,IL,30268,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,0.17137637,0.212478685,inf,1.2398365363906354
Metals,Chicago,IL,30268,ND Ears / Bails,1 Paint,Ears,2020,1,0.0,0.082825822,0.118099878,inf,1.4258823534525262
Metals,Chicago,IL,30268,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,1,0.0,8.144945189,7.476248477,inf,0.9179004036880328
Metals,Chicago,IL,30268,Armloks,7 M.Other,Other,2020,1,0.0,0.0,4.03954324,inf,inf
Metals,Chicago,IL,30616,Paint Can-PT Hybrid,3 Hybrid,Pint Hybrid,2020,1,7.673568819,0.445066991,2.611010962,0.3402603174073391,5.866557203295267
Metals,Chicago,IL,30616,AA Gal Rd Cn 610x708,1 Paint,Gallon Round,2020,1,24.65286236,17.48774665,37.70341048,1.5293725300302208,2.155990204718571
Metals,Chicago,IL,30616,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,0.662606577,0.595683313,1.573118149,2.374136031251618,2.640863214847182
Metals,Chicago,IL,30616,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,14.79171742,4.084326431,12.6072229,0.8523163701703544,3.086732442419708
Metals,Chicago,IL,30616,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,9.487210719,1.660261876,8.338903776,0.8789626395985608,5.0226436543195065
Metals,Chicago,IL,30616,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,1,9.975639464,1.207052375,5.332478685,0.5345500611007246,4.4177691005330235
Metals,Chicago,IL,30616,EH 5 Gal O/H Strait,4 Metal Pail,5 Gallon Pail,2020,1,3.018270402,11.96744214,12.77724117,4.233299031635271,1.0676668431337828
Metals,Chicago,IL,30616,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,1,4.326431181,10.9554592,16.4466078,3.8014259587040446,1.5012248687850527
Metals,Chicago,IL,30616,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,1,8.948842875,27.69921742,41.5318514,4.64103035220629,1.4993871765493367
Metals,Chicago,IL,30616,GN 1 Gal C/H Strait,4 Metal Pail,1 Gallon Pail,2020,1,2.238124239,3.742143727,27.62690012,12.343774147383245,7.382640041500468
Metals,Chicago,IL,30616,GE 5 Gal C/H Strait,4 Metal Pail,5 Gallon Pail,2020,1,2.505481121,9.61246285,15.2076553,6.069754496465832,1.5820768867782933
Metals,Chicago,IL,30616,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,5.086479903,17.58903776,inf,3.4579980842204856
Metals,Chicago,IL,30616,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,0.220341048,0.468142509,inf,2.1246268602661815
Metals,Chicago,IL,30616,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,0.582986602,2.905657734,inf,4.984090070049329
Metals,Chicago,IL,30616,NM 214 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,0.359123021,1.425316687,inf,3.968881424062202
Metals,Chicago,IL,30616,ND Ears / Bails,1 Paint,Ears,2020,1,0.0,16.32399513,2.908087698,inf,0.17814803758765885
Metals,Chicago,IL,30616,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,1,0.0,9.048760049,12.17699147,inf,1.3457082963920244
Metals,Chicago,IL,30616,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,1,0.0,10.70657734,16.00682095,inf,1.4950455632724173
Metals,Chicago,IL,30616,Outside Purchse Cans,1 Paint,1/4 Pint Round,2020,1,6.708891596,0.711142509,4.194665043,0.6252396514352622,5.898487279150964
Metals,Chicago,IL,31329,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,1.578562728,0.418319123,1.168258222,0.7400771608741543,2.7927440027646067
Metals,Chicago,IL,31329,AG Qt Rd Cn 404x502,1 Paint,Liter Round,2020,1,0.701583435,0.199249695,0.720188794,1.0265190967628819,3.614503871637043
Metals,Chicago,IL,31329,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,1,0.583434836,1.817982948,2.333800244,4.000104381837083,1.2837305468499915
Metals,Chicago,IL,31329,GE 5 Gal C/H Strait,4 Metal Pail,5 Gallon Pail,2020,1,15.43848965,55.61262241,76.62738733,4.963399209844339,1.3778776114003433
Metals,Chicago,IL,31329,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,0.048964677,0.166510353,inf,3.4006219013759655
Metals,Chicago,IL,31329,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,1,0.0,0.916202192,0.896047503,inf,0.978001920126382
Metals,Chicago,IL,34773,EE 3.5 Gal O/H Taper,4 Metal Pail,3.5 Gallon Pail,2020,1,0.962241169,1.938915956,2.555809988,2.656101266854027,1.3181644001077064
Metals,Chicago,IL,34773,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,1,1.900121803,4.63819732,5.023349574,2.643698717665838,1.0830392127431094
Metals,Chicago,IL,35249,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,108.0730816,75.37371011,94.20261876,0.8716566360961433,1.2498073747798957
Metals,Chicago,IL,35249,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,41.8319123,11.08545676,22.03654689,0.5267879395989268,1.9878790172647791
Metals,Chicago,IL,35249,AG Qt Rd Cn 404x502,1 Paint,Liter Round,2020,1,41.65651644,11.83045067,24.30090743,0.5833638889368445,2.054098200301274
Metals,Chicago,IL,35249,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,15.8634592,27.86582826,inf,1.7566047801226103
Metals,Chicago,IL,35249,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,5.753349574,12.69396468,inf,2.206360749808317
Metals,Chicago,IL,35249,ND Ears / Bails,1 Paint,Ears,2020,1,0.0,0.538367844,1.037466504,inf,1.9270588233720733
Metals,Chicago,IL,35258,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,92.69671133,65.72196833,120.6509744,1.3015669344566378,1.835778468992181
Metals,Chicago,IL,35258,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,83.6638246,22.17091352,47.58552984,0.5687706731972662,2.146304427062688
Metals,Chicago,IL,35258,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,1.500609013,0.262606577,0.747180268,0.4979180196354052,2.8452458294675536
Metals,Chicago,IL,35258,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,1,16.77222899,2.029439708,7.041985384,0.4198598402274736,3.469916034578742
Metals,Chicago,IL,35258,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,1,96.99390987,44.61719854,66.42141291,0.6847998291750893,1.4886952808220846
Metals,Chicago,IL,35258,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,95.84835566,137.4267357,inf,1.4337933577858106
Metals,Chicago,IL,35258,NG 404 Dia Plugs,1 Paint,Plugs,2020,1,0.0,22.62168088,54.62225944,inf,2.4145977361165922
Metals,Chicago,IL,35258,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,0.157563946,0.445103532,inf,2.8249072411527445
Metals,Chicago,IL,35651,Outside Purchse Cans,1 Paint,1/4 Pint Round,2020,1,30.19001218,3.200141291,18.53062728,0.6137999272579293,5.790565351634657
Metals,Chicago,IL,35917,EN 6.5 Gal O/H Taper,4 Metal Pail,6.5 Gallon Pail,2020,1,3.098660171,11.51462119,17.9387637,5.7892000768224925,1.5579117544552066
Metals,Chicago,IL,35917,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,1,0.0,2.820694275,6.593855055,inf,2.3376709462779335
Metals,Chicago,IL,35975,AA Gal Rd Cn 610x708,1 Paint,Gallon Round,2020,1,2.046285018,1.409890378,3.502362972,1.7115714288047434,2.484138502291417
Metals,Chicago,IL,35975,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,1.325213155,1.191366626,2.828775883,2.134581800917906,2.374395774789817
Metals,Chicago,IL,35975,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,4.323995128,0.756699147,5.211626066,1.2052802817126578,6.887315899141618
Metals,Chicago,IL,35975,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,1,0.65773447,1.769963459,2.665602923,4.052703704277502,1.506021443237038
Metals,Chicago,IL,35975,GE 5 Gal C/H Strait,4 Metal Pail,5 Gallon Pail,2020,1,0.584652862,2.780609013,4.083507917,6.984500004038295,1.4685660220148329
Metals,Chicago,IL,35975,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,0.54043849,1.948148599,inf,3.6047554625504192
Metals,Chicago,IL,35975,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,1,0.0,0.50145676,1.057320341,inf,2.108497532269782
Metals,Chicago,IL,35975,Pail Fitting-Plastic,7 M.Other,Other,2020,1,0.0,0.0,0.245554202,inf,inf
Metals,Chicago,IL,36323,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,3.644336175,3.064886724,6.390742996,1.753609625764012,2.0851481870297013
Metals,Chicago,IL,36323,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,8.594397077,2.277515225,7.307643118,0.8502799035846782,3.2086034103240735
Metals,Chicago,IL,36323,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,8.647990256,1.513398295,6.193258222,0.716150000019149,4.092285713854329
Metals,Chicago,IL,36333,Gallon Round Comp.,1 Paint,Rings,2020,1,0.0,253.0620219,419.4628624,inf,1.6575496364513953
Metals,Chicago,IL,36333,NL 214 Dia. Rings,1 Paint,Rings,2020,1,0.0,2.932618758,5.742533496,inf,1.958158891378134
Metals,Chicago,IL,36333,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,26.70401949,30.12950061,inf,1.1282758620395241
Metals,Chicago,IL,36390,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,4.911084044,1.630479903,5.090389769,1.0365104167213475,3.122019326723342
Metals,Chicago,IL,36399,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,46.05115713,38.72902314,50.37896468,1.0939782585219917,1.3008064907262724
Metals,Chicago,IL,36399,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,104.3605359,34.23639464,50.91504872,0.4878764590552471,1.4871615208136881
Metals,Chicago,IL,36399,AG Qt Rd Cn 404x502,1 Paint,Liter Round,2020,1,3.274056029,0.929831912,2.241650426,0.6846707588827278,2.410812531889097
Metals,Chicago,IL,36399,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,166.4738124,37.95602923,69.01814251,0.41458858612647476,1.8183709916486437
Metals,Chicago,IL,36462,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,0.662606577,0.553276492,1.471163216,2.2202665458903224,2.659001850380443
Metals,Chicago,IL,36462,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,17.29841657,3.096416565,10.86080999,0.627849950661698,3.5075416249751266
Metals,Chicago,IL,36462,AL 1/4 Pt Cn 208x201,1 Paint,1/4 Pint Round,2020,1,64.45797808,6.832545676,21.11045067,0.327507180628586,3.0896903835056047
Metals,Chicago,IL,36462,NP 208 Dia. Plug,1 Paint,Plugs,2020,1,0.0,1.355459196,5.091443362,inf,3.7562498207434047
Metals,Chicago,IL,36539,NF 404 Dia. Rings,1 Paint,Rings,2020,1,0.0,3.642971985,5.032192448,inf,1.3813426149638646
Metals,Chicago,IL,36539,NI 307 Dia. Rings,1 Paint,Rings,2020,1,0.0,2.470158343,5.075700365,inf,2.054807692544753
Metals,Chicago,IL,36634,NM 214 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,0.877856273,2.864007308,inf,3.262501386716183
Metals,Chicago,IL,36913,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,6.548112058,4.603322777,5.796059683,0.885149739598424,1.259103470206213
Metals,Chicago,IL,36913,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,1,4.509135201,11.00679903,6.763702801,1.4999999998891138,0.6145022528861418
Metals,Chicago,IL,36913,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,1,0.65773447,2.049500609,2.437429963,3.7057962964902846,1.1892799408287467
Metals,Chicago,IL,36913,NC 610 Dia. Plugs,1 Paint,Plugs,2020,1,0.0,1.271619976,2.314786845,inf,1.8203448268258409
Metals,Chicago,IL,36913,QA Pail Cover 11 1/4,4 Metal Pail,Cover,2020,1,0.0,4.220594397,4.591278928,inf,1.0878275655351963
Metals,Chicago,IL,37073,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,1,54.5773447,38.29081608,49.90635201,0.9144151714291809,1.3033504406312983
Metals,Chicago,IL,37073,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,1,215.2691839,57.04633374,79.77965895,0.3706041780093356,1.398506331951351
Metals,Chicago,IL,37073,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,1,9.236297199,1.61635201,3.844244823,0.41621060260124704,2.3783463003210543
Metals,Chicago,IL,37073,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,1,332.6492083,40.2505542,108.7163886,0.3268199228718862,2.7009910984033105
Metals,Chicago,IL,37073,FL 2 Gal O/H Tpr UN,4 Metal Pail,2 Gallon Pail,2020,1,6.699147381,10.85261876,18.53386114,2.7665999993619184,1.707777776946437
Metals,Chicago,IL,37073,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,1,7.775883069,3.576906212,5.395767357,0.6939105576974566,1.5085012122761245
Metals,Chicago,IL,37073,Hybrid Quart Can,3 Hybrid,Quart Hybrid,2020,1,62.22168088,7.155493301,28.15033496,0.4524200336903531,3.934087249591291
